document;siape;das;context
PORTARIA IPEA Nº 31, DE 17 DE FEVEREIRO DE 2023Nº 31;['SIAPE nº 1734056'];;Autorizar o afastamento do País do servidor Rodrigo Fracalossi de Moraes, ocupante do cargo Técnico de Planejamento e Pesquisa, matrícula SIAPE nº 1734056, da Diretoria de Estudos Internacionais - DINTE, do Instituto de Pesquisa Econômica Aplicada - IPEA, para participar da 64ª Convenção Anual: Lutas Reais, Altos Riscos: Cooperação, Contenda e Criatividade, em Montreal/Canadá, no período de 12 a 19 de março de 2023, incluído trânsito, com ônus limitado para o IPEA.
PORTARIA DIDES Nº 27, DE 16 DE FEVEREIRO DE 2023Nº 27;;;Conceder aposentadoria voluntária ao servidor SIDRACH DANTAS DE MORAIS, Auxiliar Técnico, AT-NI-S-IV, do Quadro de Pessoal desta Fundação, matrícula SIAPE nº XX603XX, com fundamento no art. 20, § 2º, da Emenda Constitucional nº 103, de 12 de novembro de 2019, declarando em decorrência a vacância do cargo (processo n.º 03001.000564/2023-25)
PORTARIA IPEA Nº 35, DE 24 DE FEVEREIRO DE 2023Nº 35;;;Art. 1º Disponibilizar a requisição do servidor ANDRÉ BOJIKIAN CALIXTRE, matrícula nº XX719XX, pertencente ao Quadro de Pessoal do Instituto de Pesquisa Econômica Aplicada - IPEA, para exercer a função comissionada de Assessor Especial, código FCE 1.15, no Gabinete Adjunto de Informações e Apoio à Decisão do Gabinete Pessoal do Presidente da República.
PORTARIA IPEA Nº 36, DE 27 DE FEVEREIRO DE 2023Nº 36;;;"Autorizar o afastamento do País do servidor Luis Claudio Kubota, ocupante do cargo Técnico de Planejamento e Pesquisa, matrícula SIAPE nº XX597XX, da Diretoria de Estudos e Políticas Setoriais, de Inovação, Regulação e Infraestrutura - DISET, do Instituto de Pesquisa Econômica Aplicada - IPEA, para participar da oficina ""Digitalização da Administração Pública em Países Federativos"", em Ottawa/Canadá, no período de 25 a 29 de abril de 2023, incluído trânsito, com ônus limitado para o IPEA."
ATO Nº 83, DE 23 DE FEVEREIRO DE 2023Nº 83;;;Exonerar, a pedido, o servidor ALEXANDRE DOS SANTOS CUNHA, código 65570, Técnico de Planejamento e Pesquisa, requisitado do Instituto de Pesquisa Econômica Aplicada - IPEA, do cargo em comissão de Secretário de Pesquisa Judiciária e Ciência de Dados, Nível CJ-3, com efeitos a contar de 1º de março de 2023.
PORTARIA IPEA Nº 37, DE 28 DE FEVEREIRO DE 2023Nº 37;;;Exonerar o servidor EDILEAN KLEBER DA SILVA BEJARANO ARAGÓN, matrícula SIAPE nº XX229XX, do cargo em comissão de Chefe de Gabinete, código CCE 1.13, da Presidência do IPEA.
PORTARIA IPEA Nº 39, DE 28 DE FEVEREIRO DE 2023Nº 39;;;"Art. 1º Delegar competência ao Chefe de Gabinete, para, no âmbito desta Fundação, homologar no sistema Sisref as frequências dos servidores vinculados diretamente à Presidência; pactuar, avaliar; acompanhar e monitorar os Planos de Trabalho dos servidores vinculados diretamente à Presidência relativos ao Programa de Gestão e Desempenho - PGD, bem como autorizar as programações e alterações de férias dos servidores vinculados diretamente à Presidência do IPEA."
PORTARIA IPEA Nº 38, DE 28 DE FEVEREIRO DE 2023Nº 38;;;Nomear o servidor ALEXANDRE DOS SANTOS CUNHA, matrícula SIAPE nº XX033XX, para exercer o cargo em comissão de Chefe de Gabinete, código CCE 1.13, da Presidência do IPEA.
PORTARIA IPEA Nº 35, DE 24 DE FEVEREIRO DE 2023(*)Nº 35;;;Art. 1º Disponibilizar a requisição do servidor ANDRÉ BOJIKIAN CALIXTRE, matrícula nº XX719XX, pertencente ao Quadro de Pessoal do Instituto de Pesquisa Econômica Aplicada - IPEA, para exercer a função comissionada de Assessor Especial, código FCE 2.15, no Gabinete Adjunto de Informações e Apoio à Decisão do Gabinete Pessoal do Presidente da República.
PORTARIA DE PESSOAL SE/MPO Nº 146, DE 27 DE FEVEREIRO DE 2023Nº 146;['SIAPE nº 1701707'];;Designar o servidor RAFAEL HENRIQUE MORAES PEREIRA, matricula SIAPE nº 1701707, para exercer o encargo de substituto eventual da Função Comissionada Executiva de Coordenador de Ciência de Dados e Modelagem, código FCE 1.10, da Coordenação-Geral de Ciência de Dados e Tecnologia da Informação do Instituto de Pesquisa Econômica Aplicada - IPEA, nos afastamentos, impedimentos legais ou regulamentares do titular na vacância do cargo.
PORTARIA DE PESSOAL SE/MPO Nº 147, DE 27 DE FEVEREIRO DE 2023Nº 147;['SIAPE nº 1282029'];;Dispensar, a contar de 15 de fevereiro de 2023, a servidora LUCIANA MENDES SANTOS SERVO, matrícula SIAPE nº 1282029, do encargo de substituto eventual do Cargo Comissionado Executivo de Presidente, código CCE 1.17, do Instituto de Pesquisa Econômica Aplicada - IPEA.
